Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.05     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<LogEntry*, std::vector<LogEntry, std::allocator<LogEntry> > >::base() const
  0.00      2.05     0.00       46     0.00     0.00  std::_Vector_base<LogEntry, std::allocator<LogEntry> >::_M_get_Tp_allocator()
  0.00      2.05     0.00       45     0.00     0.00  __gnu_cxx::new_allocator<LogEntry>::max_size() const
  0.00      2.05     0.00       30     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<LogEntry> >::max_size(std::allocator<LogEntry> const&)
  0.00      2.05     0.00       30     0.00     0.00  __gnu_cxx::__normal_iterator<LogEntry*, std::vector<LogEntry, std::allocator<LogEntry> > >::__normal_iterator(LogEntry* const&)
  0.00      2.05     0.00       30     0.00     0.00  std::_Vector_base<LogEntry, std::allocator<LogEntry> >::_M_get_Tp_allocator() const
  0.00      2.05     0.00       30     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::max_size() const
  0.00      2.05     0.00       30     0.00     0.00  LogEntry* std::__uninitialized_copy<false>::__uninit_copy<LogEntry*, LogEntry*>(LogEntry*, LogEntry*, LogEntry*)
  0.00      2.05     0.00       30     0.00     0.00  LogEntry* std::uninitialized_copy<LogEntry*, LogEntry*>(LogEntry*, LogEntry*, LogEntry*)
  0.00      2.05     0.00       30     0.00     0.00  LogEntry* std::__uninitialized_copy_a<LogEntry*, LogEntry*, LogEntry>(LogEntry*, LogEntry*, LogEntry*, std::allocator<LogEntry>&)
  0.00      2.05     0.00       30     0.00     0.00  LogEntry* std::__uninitialized_move_if_noexcept_a<LogEntry*, LogEntry*, std::allocator<LogEntry> >(LogEntry*, LogEntry*, LogEntry*, std::allocator<LogEntry>&)
  0.00      2.05     0.00       16     0.00     0.00  void std::_Destroy_aux<false>::__destroy<LogEntry*>(LogEntry*, LogEntry*)
  0.00      2.05     0.00       16     0.00     0.00  std::_Vector_base<LogEntry, std::allocator<LogEntry> >::_M_deallocate(LogEntry*, unsigned long)
  0.00      2.05     0.00       16     0.00     0.00  void std::_Destroy<LogEntry*>(LogEntry*, LogEntry*)
  0.00      2.05     0.00       16     0.00     0.00  void std::_Destroy<LogEntry*, LogEntry>(LogEntry*, LogEntry*, std::allocator<LogEntry>&)
  0.00      2.05     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<LogEntry>::deallocate(LogEntry*, unsigned long)
  0.00      2.05     0.00       15     0.00     0.00  __gnu_cxx::new_allocator<LogEntry>::allocate(unsigned long, void const*)
  0.00      2.05     0.00       15     0.00     0.00  __gnu_cxx::__normal_iterator<LogEntry*, std::vector<LogEntry, std::allocator<LogEntry> > >::difference_type __gnu_cxx::operator-<LogEntry*, std::vector<LogEntry, std::allocator<LogEntry> > >(__gnu_cxx::__normal_iterator<LogEntry*, std::vector<LogEntry, std::allocator<LogEntry> > > const&, __gnu_cxx::__normal_iterator<LogEntry*, std::vector<LogEntry, std::allocator<LogEntry> > > const&)
  0.00      2.05     0.00       15     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::_M_check_len(unsigned long, char const*) const
  0.00      2.05     0.00       15     0.00     0.00  std::_Vector_base<LogEntry, std::allocator<LogEntry> >::_M_allocate(unsigned long)
  0.00      2.05     0.00       15     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::_M_insert_aux(__gnu_cxx::__normal_iterator<LogEntry*, std::vector<LogEntry, std::allocator<LogEntry> > >, LogEntry const&)
  0.00      2.05     0.00       15     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::end()
  0.00      2.05     0.00       15     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::begin()
  0.00      2.05     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z4stoi6Stringi
  0.00      2.05     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN6StringC2Ev
  0.00      2.05     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      2.05     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      2.05     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      2.05     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      2.05     0.00        1     0.00     2.03  parse(std::istream&)
  0.00      2.05     0.00        1     0.00     0.02  by_host(std::ostream&, std::vector<LogEntry, std::allocator<LogEntry> > const&)
  0.00      2.05     0.00        1     0.00     0.00  LogEntry::LogEntry()
  0.00      2.05     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<String>::new_allocator(__gnu_cxx::new_allocator<String> const&)
  0.00      2.05     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<LogEntry>::new_allocator()
  0.00      2.05     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<LogEntry>::~new_allocator()
  0.00      2.05     0.00        1     0.00     0.00  std::allocator<String>::allocator(std::allocator<String> const&)
  0.00      2.05     0.00        1     0.00     0.00  std::allocator<LogEntry>::allocator()
  0.00      2.05     0.00        1     0.00     0.00  std::allocator<LogEntry>::~allocator()
  0.00      2.05     0.00        1     0.00     0.00  std::_Vector_base<String, std::allocator<String> >::_Vector_impl::_Vector_impl(std::allocator<String> const&)
  0.00      2.05     0.00        1     0.00     0.00  std::_Vector_base<String, std::allocator<String> >::_M_create_storage(unsigned long)
  0.00      2.05     0.00        1     0.00     0.00  std::_Vector_base<String, std::allocator<String> >::_Vector_base(unsigned long, std::allocator<String> const&)
  0.00      2.05     0.00        1     0.00     0.00  std::_Vector_base<LogEntry, std::allocator<LogEntry> >::_Vector_impl::_Vector_impl()
  0.00      2.05     0.00        1     0.00     0.00  std::_Vector_base<LogEntry, std::allocator<LogEntry> >::_Vector_impl::~_Vector_impl()
  0.00      2.05     0.00        1     0.00     0.00  std::_Vector_base<LogEntry, std::allocator<LogEntry> >::_Vector_base()
  0.00      2.05     0.00        1     0.00     0.00  std::_Vector_base<LogEntry, std::allocator<LogEntry> >::~_Vector_base()
  0.00      2.05     0.00        1     0.00     0.00  void std::__uninitialized_fill_n<false>::__uninit_fill_n<String*, unsigned long, String>(String*, unsigned long, String const&)
  0.00      2.05     0.00        1     0.00     0.00  std::vector<String, std::allocator<String> >::_M_fill_initialize(unsigned long, String const&)
  0.00      2.05     0.00        1     0.00     0.00  std::vector<String, std::allocator<String> >::vector(unsigned long, String const&, std::allocator<String> const&)
  0.00      2.05     0.00        1     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::vector()
  0.00      2.05     0.00        1     0.00     0.00  std::vector<LogEntry, std::allocator<LogEntry> >::~vector()
  0.00      2.05     0.00        1     0.00     0.00  void std::uninitialized_fill_n<String*, unsigned long, String>(String*, unsigned long, String const&)
  0.00      2.05     0.00        1     0.00     0.00  void std::__uninitialized_fill_n_a<String*, unsigned long, String, String>(String*, unsigned long, String const&, std::allocator<String>&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.49% of 2.05 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.8    0.00    2.05                 main [1]
                0.00    2.03       1/1           parse(std::istream&) [2]
                0.00    0.02       1/1           by_host(std::ostream&, std::vector<LogEntry, std::allocator<LogEntry> > const&) [39]
